id,lote,partida_especifica,partida,descripcion,cantidad,unidad,marca,precio_unitario,subtotal,proveedor,medida,codigo
35,9,246,114,"GOGGLES PARA NATACIÓN TRANSPARENTE CON CORREA FÁCILMENTE AJUSTABLE, LENTES CON VENTANA LATERAL, ANTIEMPAÑANTES, PUENTE PARA LA NARIZ, SIN FILTRACIONES DE AGUA, CON PROTECCIÓN UV. SEGÚN MUESTRA AC43.",1,Pieza,Arena,464.62,464.62,beyram,P,49141606
36,9,246,115,"BOTAS TIPO JARDINERA COLOR NEGRO, FABRICADA EN PVC, EMPEINE Y TOBILLOS CONFORTABLES, PUNTA REFORZADA, SUELA ANTIDERRAPANTE, ALTURA 35 CM. SEGÚN MUESTRA AC03.",1,Par,Truper,926.08,926.08,beyram,A,46181604
37,9,246,116,"BOTA PANTALONERA COLOR NEGRO, FABRICADA CON PETO DE PVC (CLORURO DE POLIVINILO) AHULADO SELLADO A LA BOTA DE PVC 100% IMPERMEABLE, CON TIRANTES ELÁSTICOS AJUSTABLES. SEGÚN MUESTRA AC52.",1,Par,"Dita Flex",926.08,926.08,beyram,A,46181604
38,9,246,117,"FAJA DE PROTECCIÓN LUMBAR, FABRICADA EN FIBRAS SINTÉTICAS, TIRANTES AJUSTABLES, VARILLAS EN ESPALDA Y CINTURÓN AJUSTABLE CON CIERRE MEDIANTE VELCRO. SEGÚN MUESTRA AC04.",1,Pieza,Truper,291.84,291.84,beyram,P,46182201
39,9,246,118,"FAJA DE PROTECCIÓN, FABRICADO CON DOBLE MALLA ELÁSTICA TRANSPIRABLE DE FIBRAS SINTÉTICAS, CON 3 VARILLAS PARA SOPORTE LUMBAR Y CIERRE CON VELCRO. SEGÚN MUESTRA AC14.",1,Pieza,Truper,320.28,320.28,beyram,P,46182201
40,9,246,119,"RESPIRADOR MEDIA CARA DE DOS FILTROS, PARA PROTECCIÓN MULTI-GAS/VAPORES ORGÁNICOS, CON CARTUCHOS INCLUIDOS Y BANDAS ELÁSTICAS AJUSTABLES. CUMPLE CON LA APROBACIÓN KOSHA. SEGÚN MUESTRA AC05.",1,Pieza,Truper,642.68,642.68,beyram,P,46182002
41,9,246,120,"RESPIRADOR MEDIA CARA DE UN FILTRO, PARA PROTECCIÓN MULTIGAS/VAPORES ORGÁNICOS, BANDA ELÁSTICA AJUSTABLE, NO INCLUYE CARTUCHO. SEGÚN MUESTRA AC07.",1,Pieza,Pretul,176.99,176.99,beyram,P,46182002
42,9,246,121,"RESPIRADOR DESECHABLE CON VÁLVULA, PARA PROTECCIÓN CONTRA POLVO Y PARTÍCULAS SIN ACEITE, PARA APLICACIONES INDUSTRIALES, BANDA ELÁSTICA AJUSTABLE Y PUENTE NASAL SUAVE. CUMPLE CON LA APROBACIÓN KOSHA. SEGÚN MUESTRA AC08",1,Pieza,Truper,63.21,63.21,beyram,P,46182002
43,9,246,122,"CARTUCHO DE REPUESTO PARA RESPIRADOR DE PROTECCIÓN MULTI-GAS/VAPORES ORGÁNICOS. CUMPLE CON LA APROBACIÓN  KOSHA. SEGÚN MUESTRA AC06.",1,Pieza,Truper,239.15,239.15,beyram,P,46182005
44,9,246,123,"LINTERNA LED DE MANO RECARGABLE FABRICADA EN PLÁSTICO, 350 LÚMENES, PILA RECARGABLE DE ION LITIO PROTECCIÓN IPX3 CONTRA AGUA Y POLVO INCLUYE CABLE USB DE CARGA. SEGÚN MUESTRA AC10.",1,Pieza,Truper,521.51,521.51,beyram,P,39111610
