id,producto_id,anio,precio_unitario,subtotal,proveedor,created_at,updated_at
107,107,2025,821.01,821.01,SPAHER,"2026-03-31 11:48:04","2026-03-31 11:48:04"
108,108,2025,799.83,799.83,SPAHER,"2026-03-31 11:48:04","2026-03-31 11:48:04"
109,109,2025,528.08,528.08,SPAHER,"2026-03-31 11:48:04","2026-03-31 11:48:04"
110,110,2025,481.45,481.45,SPAHER,"2026-03-31 11:48:04","2026-03-31 11:48:04"
111,111,2025,812.87,812.87,SPAHER,"2026-03-31 11:48:04","2026-03-31 11:48:04"
112,112,2025,946.76,946.76,UNIFORMA,"2026-03-31 11:48:04","2026-03-31 11:48:04"
113,113,2025,951.26,951.26,UNIFORMA,"2026-03-31 11:48:04","2026-03-31 11:48:04"
114,114,2025,955.76,955.76,UNIFORMA,"2026-03-31 11:48:04","2026-03-31 11:48:04"
115,115,2025,948.74,948.74,UNIFORMA,"2026-03-31 11:48:04","2026-03-31 11:48:04"
116,116,2025,948.29,948.29,UNIFORMA,"2026-03-31 11:48:04","2026-03-31 11:48:04"
117,117,2025,928.72,928.72,UNIFORMA,"2026-03-31 11:48:04","2026-03-31 11:48:04"
118,118,2025,944.03,944.03,UNIFORMA,"2026-03-31 11:48:04","2026-03-31 11:48:04"
119,119,2025,825.98,825.98,UNIFORMA,"2026-03-31 11:48:04","2026-03-31 11:48:04"
120,120,2025,823.50,823.50,UNIFORMA,"2026-03-31 11:48:04","2026-03-31 11:48:04"
121,121,2025,823.50,823.50,UNIFORMA,"2026-03-31 11:48:04","2026-03-31 11:48:04"
122,122,2025,823.50,823.50,UNIFORMA,"2026-03-31 11:48:04","2026-03-31 11:48:04"
123,123,2025,860.97,860.97,UNIFORMA,"2026-03-31 11:48:04","2026-03-31 11:48:04"
124,124,2025,866.71,866.71,UNIFORMA,"2026-03-31 11:48:04","2026-03-31 11:48:04"
125,125,2025,894.47,894.47,UNIFORMA,"2026-03-31 11:48:04","2026-03-31 11:48:04"
126,126,2025,850.99,850.99,UNIFORMA,"2026-03-31 11:48:04","2026-03-31 11:48:04"
127,127,2025,174.74,174.74,UNIFORMA,"2026-03-31 11:48:04","2026-03-31 11:48:04"
128,128,2025,1195.18,1195.18,UNIFORMA,"2026-03-31 11:48:04","2026-03-31 11:48:04"
129,129,2025,1133.39,1133.39,UNIFORMA,"2026-03-31 11:48:04","2026-03-31 11:48:04"
130,130,2025,1100.68,1100.68,UNIFORMA,"2026-03-31 11:48:04","2026-03-31 11:48:04"
131,131,2025,1214.49,1214.49,UNIFORMA,"2026-03-31 11:48:04","2026-03-31 11:48:04"
132,132,2025,1106.71,1106.71,UNIFORMA,"2026-03-31 11:48:04","2026-03-31 11:48:04"
133,133,2025,1214.49,1214.49,UNIFORMA,"2026-03-31 11:48:04","2026-03-31 11:48:04"
134,134,2025,1214.49,1214.49,UNIFORMA,"2026-03-31 11:48:04","2026-03-31 11:48:04"
135,135,2025,1195.18,1195.18,UNIFORMA,"2026-03-31 11:48:04","2026-03-31 11:48:04"
136,136,2025,1214.49,1214.49,UNIFORMA,"2026-03-31 11:48:04","2026-03-31 11:48:04"
137,137,2025,1063.88,1063.88,UNIFORMA,"2026-03-31 11:48:04","2026-03-31 11:48:04"
138,138,2025,865.98,865.98,UNIFORMA,"2026-03-31 11:48:04","2026-03-31 11:48:04"
139,139,2025,945.14,945.14,UNIFORMA,"2026-03-31 11:48:04","2026-03-31 11:48:04"
140,140,2025,1019.69,1019.69,UNIFORMA,"2026-03-31 11:48:04","2026-03-31 11:48:04"
141,141,2025,918.48,918.48,UNIFORMA,"2026-03-31 11:48:04","2026-03-31 11:48:04"
142,142,2025,902.50,902.50,UNIFORMA,"2026-03-31 11:48:04","2026-03-31 11:48:04"
143,143,2025,1011.08,1011.08,UNIFORMA,"2026-03-31 11:48:04","2026-03-31 11:48:04"
144,144,2025,462.42,462.42,SPAHER,"2026-03-31 11:48:04","2026-03-31 11:48:04"
145,145,2025,2275.47,2275.47,SPAHER,"2026-03-31 11:48:04","2026-03-31 11:48:04"
146,146,2025,2275.47,2275.47,SPAHER,"2026-03-31 11:48:04","2026-03-31 11:48:04"
147,147,2025,1004.99,1004.99,SPAHER,"2026-03-31 11:48:04","2026-03-31 11:48:04"
148,148,2025,1004.99,1004.99,SPAHER,"2026-03-31 11:48:04","2026-03-31 11:48:04"
149,149,2025,1050.37,1050.37,SPAHER,"2026-03-31 11:48:04","2026-03-31 11:48:04"
150,150,2025,1050.37,1050.37,SPAHER,"2026-03-31 11:48:04","2026-03-31 11:48:04"
151,151,2025,454.24,454.24,SPAHER,"2026-03-31 11:48:04","2026-03-31 11:48:04"
152,152,2025,327.07,327.07,SPAHER,"2026-03-31 11:48:04","2026-03-31 11:48:04"
153,153,2025,326.31,326.31,SPAHER,"2026-03-31 11:48:04","2026-03-31 11:48:04"
