id,codigo,ur,nombre,ur_texto,created_at,updated_at
57,508,,"COLEGIO SUPERIOR PARA LA EDUCACIÓN INTEGRAL INTERCULTURAL DE OAXACA",,"2026-03-31 21:32:58","2026-03-31 21:32:58"
58,524,,"INSTITUTO DE CAPACITACIÓN Y PRODUCTIVIDAD PARA EL TRABAJO DEL ESTADO DE OAXACA",,"2026-03-31 21:32:58","2026-03-31 21:32:58"
59,525,,"INSTITUTO DE ESTUDIOS DE BACHILLERATO DEL ESTADO DE OAXACA",,"2026-03-31 21:32:58","2026-03-31 21:32:58"
60,530,,"INSTITUTO ESTATAL DE EDUCACIÓN PARA ADULTOS",,"2026-03-31 21:32:58","2026-03-31 21:32:58"
61,535,,"INSTITUTO TECNOLÓGICO SUPERIOR DE SAN MIGUEL EL GRANDE",,"2026-03-31 21:32:58","2026-03-31 21:32:58"
62,536,,"INSTITUTO TECNOLÓGICO SUPERIOR DE TEPOSCOLULA",,"2026-03-31 21:32:58","2026-03-31 21:32:58"
63,538,,NOVAUNIVERSITAS,,"2026-03-31 21:32:58","2026-03-31 21:32:58"
64,540,,"SERVICIOS DE SALUD DEL ESTADO DE OAXACA",,"2026-03-31 21:32:58","2026-03-31 21:32:58"
65,543,,"UNIVERSIDAD DE LA CAÑADA",,"2026-03-31 21:32:58","2026-03-31 21:32:58"
66,542,,"UNIVERSIDAD DE CHALCATONGO",,"2026-03-31 21:32:58","2026-03-31 21:32:58"
67,544,,"UNIVERSIDAD DE LA COSTA",,"2026-03-31 21:32:58","2026-03-31 21:32:58"
68,545,,"UNIVERSIDAD DE LA SIERRA JUÁREZ",,"2026-03-31 21:32:58","2026-03-31 21:32:58"
69,546,,"UNIVERSIDAD DE LA SIERRA SUR",,"2026-03-31 21:32:58","2026-03-31 21:32:58"
70,548,,"UNIVERSIDAD DEL MAR",,"2026-03-31 21:32:58","2026-03-31 21:32:58"
71,549,,"UNIVERSIDAD DEL PAPALOAPAN",,"2026-03-31 21:32:58","2026-03-31 21:32:58"
72,550,,"UNIVERSIDAD TECNOLÓGICA DE LA MIXTECA",,"2026-03-31 21:32:58","2026-03-31 21:32:58"
73,551,,"UNIVERSIDAD TECNOLÓGICA DE LA SIERRA SUR DE OAXACA",,"2026-03-31 21:32:58","2026-03-31 21:32:58"
74,576,,"ARCHIVO GENERAL DEL ESTADO DE OAXACA",,"2026-03-31 21:32:58","2026-03-31 21:32:58"
75,569,,"UNIVERSIDAD POLITÉCNICA DE NOCHIXTLAN ""ABRAHAM CASTELLANOS""",,"2026-03-31 21:32:58","2026-03-31 21:32:58"
76,118,,"SECRETARÍA DE ADMINISTRACIÓN-DIRECCIÓN DE RECURSOS HUMANOS",,"2026-03-31 21:32:58","2026-03-31 21:32:58"
77,575,,"COMISIÓN EJECUTIVA ESTATAL DE ATENCIÓN INTEGRAL A VÍCTIMAS",,"2026-03-31 21:32:58","2026-03-31 21:32:58"
78,601,,"FIDEICOMISO PARA EL DESARROLLO LOGÍSTICO DEL ESTADO DE OAXACA",,"2026-03-31 21:32:58","2026-03-31 21:32:58"
79,602,,"FIDEICOMISO DE FOMENTO PARA EL ESTADO DE OAXACA",,"2026-03-31 21:32:58","2026-03-31 21:32:58"
80,570,,"UNIVERSIDAD AUTONOMA COMUNAL DE OAXACA",,"2026-03-31 21:32:58","2026-03-31 21:32:58"
81,579,,"UNIVERSIDAD POLITECNICA Y TECNOLOGICA DEL ISTMO DE TEHUANTEPEC",,"2026-03-31 21:32:58","2026-03-31 21:32:58"
82,580,,"AFROUNIVERSIDAD POLITECNICA INTERCULTURAL",,"2026-03-31 21:32:58","2026-03-31 21:32:58"
83,574,,"PROCURADURIA DE PROTECCION AL AMBIENTE DEL ESTADO DE OAXACA",,"2026-03-31 21:32:58","2026-03-31 21:32:58"
84,552,,"UNIVERSIDAD TECNOLÓGICA DE LOS VALLES CENTRALES DE OAXACA",,"2026-03-31 21:32:58","2026-03-31 21:32:58"
85,585,,"INSTITUTO ESTATAL DE CREACIÓN LITERARIA Y PROMOCIÓN DE LA LECTURA",,"2026-03-31 21:32:58","2026-03-31 21:32:58"
86,584,,"INSTITUTO DE LENGUAS ORIGINARIAS DE OAXACA",,"2026-03-31 21:32:58","2026-03-31 21:32:58"
87,587,,"AGENCIA DE TECNOLOGIAS E INNOVACION DIGITAL",,"2026-03-31 21:32:58","2026-03-31 21:32:58"
