id,partida_id,tipo_partida_especifica_id,lote,descripcion,marca,unidad_medida,codigo,medida,origen,legacy_propuesta_id,created_at,updated_at
42,128,2,9,"RESPIRADOR DESECHABLE CON VÁLVULA, PARA PROTECCIÓN CONTRA POLVO Y PARTÍCULAS SIN ACEITE, PARA APLICACIONES INDUSTRIALES, BANDA ELÁSTICA AJUSTABLE Y PUENTE NASAL SUAVE. CUMPLE CON LA APROBACIÓN KOSHA. SEGÚN MUESTRA AC08",Truper,Pieza,46182002,P,propuesta,42,"2026-03-31 11:48:04","2026-03-31 11:48:04"
43,139,2,9,"CARTUCHO DE REPUESTO PARA RESPIRADOR DE PROTECCIÓN MULTI-GAS/VAPORES ORGÁNICOS. CUMPLE CON LA APROBACIÓN  KOSHA. SEGÚN MUESTRA AC06.",Truper,Pieza,46182005,P,propuesta,43,"2026-03-31 11:48:04","2026-03-31 11:48:04"
44,81,2,9,"LINTERNA LED DE MANO RECARGABLE FABRICADA EN PLÁSTICO, 350 LÚMENES, PILA RECARGABLE DE ION LITIO PROTECCIÓN IPX3 CONTRA AGUA Y POLVO INCLUYE CABLE USB DE CARGA. SEGÚN MUESTRA AC10.",Truper,Pieza,39111610,P,propuesta,44,"2026-03-31 11:48:04","2026-03-31 11:48:04"
45,105,2,9,"LÁMPARA LED DE MANO, CUERPO DE ALUMINIO, 500 LÚMENES, UTILIZA PILA RECARGABLE, LENTE CON LUPA, PROTECCIÓN CONTRA POLVO Y AGUA Y CARGADOR, TRES MODOS DE ILUMINACIÓN, ALTO, MEDIO, BAJO, INTERMITENTE Y SOS. SEGÚN MUESTRA AC11.",Truper,Pieza,39112006,P,propuesta,45,"2026-03-31 11:48:04","2026-03-31 11:48:04"
46,110,2,9,"SLEEPING COLOR AZUL MARINO, COMPOSICIÓN FORRO Y REVESTIMIENTO 100% POLIÉSTER INCLUYE CAPUCHA, CIERRE DE CARRO METÁLICO, BOLSA DE TRANSPORTE. SEGÚN MUESTRA AC36.",Coleman,Pieza,49121504,P,propuesta,46,"2026-03-31 11:48:04","2026-03-31 11:48:04"
47,141,2,9,"PORTA HERRAMIENTA GRANDE DE CARNAZA, CON 13 COMPARTIMIENTOS CON COSTURA REFORZADA Y CINTURÓN AJUSTABLE CON BROCHE DE PLÁSTICO. SEGÚN MUESTRA AC12.",Truper,Pieza,27112809,P,propuesta,47,"2026-03-31 11:48:04","2026-03-31 11:48:04"
48,142,2,9,"PORTA HERRAMIENTA GRANDE DE POLIÉSTER, CON 20 COMPARTIMIENTOS, COSIDO Y REMACHADO, PORTA MARTILLOS, CLIP METÁLICO PARA FLEXÓMETRO Y CINTURÓN AJUSTABLE DE BROCHE DE PLÁSTICO. SEGÚN MUESTRA AC13.",Truper,Pieza,27112809,P,propuesta,48,"2026-03-31 11:48:04","2026-03-31 11:48:04"
49,148,2,9,"FILTRO DE POLICARBONATO DEL NO. 12 PARA CARETA DE SOLDAR, RESISTENTE A LOS IMPACTOS. SEGÚN MUESTRA AC18.",Truper,Pieza,40161500,P,propuesta,49,"2026-03-31 11:48:04","2026-03-31 11:48:04"
50,149,2,9,"PROTECTOR FACIAL CON MICA DE POLICARBONATO ANTIRAYADURAS, PARA PROTECCIÓN DE ROSTRO Y CUELLO, AJUSTADOR DE MATRACA. SEGÚN MUESTRA AC19.",Truper,Pieza,46181709,P,propuesta,50,"2026-03-31 11:48:04","2026-03-31 11:48:04"
51,129,2,9,"CASCO DE SEGURIDAD COLOR AMARILLO, TIPO 1 CLASE E, FABRICADO EN POLIETILENO DE ALTA DENSIDAD CON AJUSTADOR DE MATRACA, RESISTENCIA ELÉCTRICA HASTA DE 20,000 V. CUMPLE CON LA NORMA NOM-115-STPS-2009 Y ANSI/ISEA-Z89.1-2014. SEGÚN MUESTRA AC2.",Truper,Pieza,46181704,P,propuesta,51,"2026-03-31 11:48:04","2026-03-31 11:48:04"
52,147,2,9,"CASCO DE SEGURIDAD CLASE C, FABRICADO EN ALUMINIO COLOR NATURAL, SUSPENSIÓN DE 4 PUNTOS, CON REFUERZO ADICIONAL EN LA PARTE SUPERIOR CENTRAL PARA SOPORTAR IMPACTOS. SEGÚN MUESTRA AC58.",Infra,Pieza,46181704,P,propuesta,52,"2026-03-31 11:48:04","2026-03-31 11:48:04"
53,12,2,9,"CASCO PARA MOTOCICLISTA EN COLOR NEGRO MATE, RENDIJA DE VENTILACIÓN EN LA PARTE SUPERIOR, ABATIBLE, MICA TRANSPARENTE DE POLICARBONATO, LENTE OBSCURO INTEGRADO DE POLICARBONATO, ANTIRAYADURAS, INTERIOR ACOJINADO, BROCHE MILIMÉTRICO PARA AJUSTE, CUMPLE CON LA CERTIFICACIÓN DOT FMVSS NO 218.  SEGÚN MUESTRA AC65.",R7,Pieza,46181705,P,propuesta,53,"2026-03-31 11:48:04","2026-03-31 11:48:04"
54,152,2,9,"CASCO PARA CICLISTA COLOR BLANCO CON DETALLE ROJO, CON SISTEMA DE AJUSTE, CON VENTILACIÓN, IDEAL PARA ADULTOS. SEGÚN MUESTRA AC75.",Helmet,Pieza,49221504,P,propuesta,54,"2026-03-31 11:48:04","2026-03-31 11:48:04"
55,150,2,9,"CARETA PARA SOLDAR COLOR NEGRO CON LENTE ABATIBLE, PARA SOLDAR CON ELECTRODO, PROTECCIÓN TOTAL DE CARA Y CUELLO VENTANILLA MÓVIL, CON LENTES INTERCAMBIABLES SUSPENSIÓN TIPO MATRACA, FABRICADA EN PLÁSTICO CON SUSPENSIÓN DE AJUSTE TIPO MATRACA, CUMPLE CON NORMA ANSI Z87.1. SEGÚN MUESTRA AC22.",Truper,Pieza,46181703,P,propuesta,55,"2026-03-31 11:48:04","2026-03-31 11:48:04"
