producto_cotizado_id,clasificacion_id
6,44
7,44
8,44
9,44
11,44
12,44
13,44
18,44
135,44
137,44
404,44
518,44
580,44
2,45
3,45
4,45
20,45
46,45
48,45
50,45
56,45
75,45
76,45
77,45
78,45
79,45
140,45
141,45
142,45
143,45
177,45
180,45
195,45
196,45
250,45
251,45
252,45
253,45
254,45
255,45
305,45
328,45
329,45
330,45
408,45
504,45
556,45
582,45
646,45
647,45
136,49
577,49
583,49
651,49
133,50
517,50
598,50
652,51
321,52
322,52
323,52
324,52
325,52
326,52
526,52
591,52
2,54
3,54
4,54
5,54
238,54
239,54
241,54
243,54
247,54
401,54
540,54
15,55
16,55
17,55
138,55
139,55
248,55
249,55
1,56
10,56
14,56
33,56
34,56
35,56
89,56
90,56
109,56
110,56
111,56
112,56
202,56
219,56
220,56
237,56
242,56
244,56
245,56
246,56
256,56
257,56
272,56
273,56
274,56
275,56
276,56
367,56
368,56
369,56
370,56
371,56
372,56
373,56
374,56
375,56
376,56
377,56
400,56
402,56
403,56
405,56
446,56
490,56
541,56
559,56
576,56
578,56
579,56
581,56
585,56
586,56
595,56
596,56
599,56
600,56
631,56
634,56
635,56
636,56
637,56
638,56
641,56
648,56
649,56
650,56
653,56
656,56
